date,value,change,actual,previous_original,previous_revised,revision,indicator,surprise,total_score,zscore_5y
2010-01-01,106884000,,,,,,adp,,0.0,
2010-02-01,106401000,-483000.0,-483000.0,,,,adp,,0.0,
2010-03-01,105935000,-466000.0,-466000.0,-483000.0,-483000.0,0.0,adp,,0.0,
2010-04-01,106029000,94000.0,94000.0,-466000.0,-466000.0,0.0,adp,,0.0,
2010-05-01,106189000,160000.0,160000.0,94000.0,94000.0,0.0,adp,,0.0,
2010-06-01,106258000,69000.0,69000.0,160000.0,160000.0,0.0,adp,,0.0,
2010-07-01,106410000,152000.0,152000.0,69000.0,69000.0,0.0,adp,,0.0,
2010-08-01,106509000,99000.0,99000.0,152000.0,152000.0,0.0,adp,,0.0,
2010-09-01,106685000,176000.0,176000.0,99000.0,99000.0,0.0,adp,,0.0,
2010-10-01,106814000,129000.0,129000.0,176000.0,176000.0,0.0,adp,,0.0,
2010-11-01,106944000,130000.0,130000.0,129000.0,129000.0,0.0,adp,,0.0,
2010-12-01,107047000,103000.0,103000.0,130000.0,130000.0,0.0,adp,,0.0,
2011-01-01,107306000,259000.0,259000.0,103000.0,103000.0,0.0,adp,,0.0,
2011-02-01,107582000,276000.0,276000.0,259000.0,259000.0,0.0,adp,,0.0,
2011-03-01,107842000,260000.0,260000.0,276000.0,276000.0,0.0,adp,,0.0,
2011-04-01,108162000,320000.0,320000.0,260000.0,260000.0,0.0,adp,,0.0,
2011-05-01,108326000,164000.0,164000.0,320000.0,320000.0,0.0,adp,,0.0,
2011-06-01,108516000,190000.0,190000.0,164000.0,164000.0,0.0,adp,,0.0,
2011-07-01,108736000,220000.0,220000.0,190000.0,190000.0,0.0,adp,,0.0,
2011-08-01,108947000,211000.0,211000.0,220000.0,220000.0,0.0,adp,,0.0,
2011-09-01,109224000,277000.0,277000.0,211000.0,211000.0,0.0,adp,,0.0,
2011-10-01,109351000,127000.0,127000.0,277000.0,277000.0,0.0,adp,,0.0,
2011-11-01,109539000,188000.0,188000.0,127000.0,127000.0,0.0,adp,,0.0,
2011-12-01,109665000,126000.0,126000.0,188000.0,188000.0,0.0,adp,,0.0,
2012-01-01,109982000,317000.0,317000.0,126000.0,126000.0,0.0,adp,,0.0,
2012-02-01,110298000,316000.0,316000.0,317000.0,317000.0,0.0,adp,,0.0,
2012-03-01,110533000,235000.0,235000.0,316000.0,316000.0,0.0,adp,,0.0,
2012-04-01,110768000,235000.0,235000.0,235000.0,235000.0,0.0,adp,,0.0,
2012-05-01,110874000,106000.0,106000.0,235000.0,235000.0,0.0,adp,,0.0,
2012-06-01,111085000,211000.0,211000.0,106000.0,106000.0,0.0,adp,,0.0,
2012-07-01,111101000,16000.0,16000.0,211000.0,211000.0,0.0,adp,,0.0,
2012-08-01,111223000,122000.0,122000.0,16000.0,16000.0,0.0,adp,,0.0,
2012-09-01,111377000,154000.0,154000.0,122000.0,122000.0,0.0,adp,,0.0,
2012-10-01,111681000,304000.0,304000.0,154000.0,154000.0,0.0,adp,,0.0,
2012-11-01,111979000,298000.0,298000.0,304000.0,304000.0,0.0,adp,,0.0,
2012-12-01,111848000,-131000.0,-131000.0,298000.0,298000.0,0.0,adp,,0.0,
2013-01-01,112307000,459000.0,459000.0,-131000.0,-131000.0,0.0,adp,,0.0,
2013-02-01,112487000,180000.0,180000.0,459000.0,459000.0,0.0,adp,,0.0,
2013-03-01,112653000,166000.0,166000.0,180000.0,180000.0,0.0,adp,,0.0,
2013-04-01,112696000,43000.0,43000.0,166000.0,166000.0,0.0,adp,,0.0,
2013-05-01,112884000,188000.0,188000.0,43000.0,43000.0,0.0,adp,,0.0,
2013-06-01,112937000,53000.0,53000.0,188000.0,188000.0,0.0,adp,,0.0,
2013-07-01,113112000,175000.0,175000.0,53000.0,53000.0,0.0,adp,,0.0,
2013-08-01,113361000,249000.0,249000.0,175000.0,175000.0,0.0,adp,,0.0,
