date,value,actual,previous_original,previous_revised,revision,indicator,surprise,total_score,zscore_5y
1990-01-06,2347000,2347000,,,,continuing_claims,,0.0,
1990-01-13,2349000,2349000,2347000.0,2347000.0,0.0,continuing_claims,,0.0,
1990-01-20,2407000,2407000,2349000.0,2349000.0,0.0,continuing_claims,,0.0,
1990-01-27,2316000,2316000,2407000.0,2407000.0,0.0,continuing_claims,,0.0,
1990-02-03,2364000,2364000,2316000.0,2316000.0,0.0,continuing_claims,,0.0,
1990-02-10,2323000,2323000,2364000.0,2364000.0,0.0,continuing_claims,,0.0,
1990-02-17,2382000,2382000,2323000.0,2323000.0,0.0,continuing_claims,,0.0,
1990-02-24,2347000,2347000,2382000.0,2382000.0,0.0,continuing_claims,,0.0,
1990-03-03,2385000,2385000,2347000.0,2347000.0,0.0,continuing_claims,,0.0,
1990-03-10,2341000,2341000,2385000.0,2385000.0,0.0,continuing_claims,,0.0,
1990-03-17,2384000,2384000,2341000.0,2341000.0,0.0,continuing_claims,,0.0,
1990-03-24,2344000,2344000,2384000.0,2384000.0,0.0,continuing_claims,,0.0,
1990-03-31,2365000,2365000,2344000.0,2344000.0,0.0,continuing_claims,,0.0,
1990-04-07,2323000,2323000,2365000.0,2365000.0,0.0,continuing_claims,,0.0,
1990-04-14,2410000,2410000,2323000.0,2323000.0,0.0,continuing_claims,,0.0,
1990-04-21,2385000,2385000,2410000.0,2410000.0,0.0,continuing_claims,,0.0,
1990-04-28,2403000,2403000,2385000.0,2385000.0,0.0,continuing_claims,,0.0,
1990-05-05,2374000,2374000,2403000.0,2403000.0,0.0,continuing_claims,,0.0,
1990-05-12,2374000,2374000,2374000.0,2374000.0,0.0,continuing_claims,,0.0,
1990-05-19,2381000,2381000,2374000.0,2374000.0,0.0,continuing_claims,,0.0,
1990-05-26,2431000,2431000,2381000.0,2381000.0,0.0,continuing_claims,,0.0,
1990-06-02,2406000,2406000,2431000.0,2431000.0,0.0,continuing_claims,,0.0,
1990-06-09,2438000,2438000,2406000.0,2406000.0,0.0,continuing_claims,,0.0,
1990-06-16,2402000,2402000,2438000.0,2438000.0,0.0,continuing_claims,,0.0,
1990-06-23,2431000,2431000,2402000.0,2402000.0,0.0,continuing_claims,,0.0,
1990-06-30,2442000,2442000,2431000.0,2431000.0,0.0,continuing_claims,,0.0,
1990-07-07,2487000,2487000,2442000.0,2442000.0,0.0,continuing_claims,,0.0,
1990-07-14,2498000,2498000,2487000.0,2487000.0,0.0,continuing_claims,,0.0,
1990-07-21,2441000,2441000,2498000.0,2498000.0,0.0,continuing_claims,,0.0,
1990-07-28,2461000,2461000,2441000.0,2441000.0,0.0,continuing_claims,,0.0,
1990-08-04,2460000,2460000,2461000.0,2461000.0,0.0,continuing_claims,,0.0,
1990-08-11,2500000,2500000,2460000.0,2460000.0,0.0,continuing_claims,,0.0,
1990-08-18,2537000,2537000,2500000.0,2500000.0,0.0,continuing_claims,,0.0,
1990-08-25,2540000,2540000,2537000.0,2537000.0,0.0,continuing_claims,,0.0,
1990-09-01,2579000,2579000,2540000.0,2540000.0,0.0,continuing_claims,,0.0,
1990-09-08,2585000,2585000,2579000.0,2579000.0,0.0,continuing_claims,,0.0,
1990-09-15,2591000,2591000,2585000.0,2585000.0,0.0,continuing_claims,,0.0,
1990-09-22,2578000,2578000,2591000.0,2591000.0,0.0,continuing_claims,,0.0,
1990-09-29,2644000,2644000,2578000.0,2578000.0,0.0,continuing_claims,,0.0,
1990-10-06,2621000,2621000,2644000.0,2644000.0,0.0,continuing_claims,,0.0,
1990-10-13,2753000,2753000,2621000.0,2621000.0,0.0,continuing_claims,,0.0,
