date,value,change,actual,previous_original,previous_revised,revision,indicator,surprise,total_score,zscore_5y
1990-01-01,109196,,,,,,nfp,,0.0,
1990-02-01,109436,240.0,240.0,,,,nfp,,0.0,
1990-03-01,109640,204.0,204.0,240.0,240.0,0.0,nfp,,0.0,
1990-04-01,109674,34.0,34.0,204.0,204.0,0.0,nfp,,0.0,
1990-05-01,109828,154.0,154.0,34.0,34.0,0.0,nfp,,0.0,
1990-06-01,109850,22.0,22.0,154.0,154.0,0.0,nfp,,0.0,
1990-07-01,109815,-35.0,-35.0,22.0,22.0,0.0,nfp,,0.0,
1990-08-01,109606,-209.0,-209.0,-35.0,-35.0,0.0,nfp,,0.0,
1990-09-01,109523,-83.0,-83.0,-209.0,-209.0,0.0,nfp,,0.0,
1990-10-01,109377,-146.0,-146.0,-83.0,-83.0,0.0,nfp,,0.0,
1990-11-01,109222,-155.0,-155.0,-146.0,-146.0,0.0,nfp,,0.0,
1990-12-01,109168,-54.0,-54.0,-155.0,-155.0,0.0,nfp,,0.0,
1991-01-01,109058,-110.0,-110.0,-54.0,-54.0,0.0,nfp,,0.0,
1991-02-01,108735,-323.0,-323.0,-110.0,-110.0,0.0,nfp,,0.0,
1991-03-01,108568,-167.0,-167.0,-323.0,-323.0,0.0,nfp,,0.0,
1991-04-01,108350,-218.0,-218.0,-167.0,-167.0,0.0,nfp,,0.0,
1991-05-01,108253,-97.0,-97.0,-218.0,-218.0,0.0,nfp,,0.0,
1991-06-01,108330,77.0,77.0,-97.0,-97.0,0.0,nfp,,0.0,
1991-07-01,108290,-40.0,-40.0,77.0,77.0,0.0,nfp,,0.0,
1991-08-01,108299,9.0,9.0,-40.0,-40.0,0.0,nfp,,0.0,
1991-09-01,108335,36.0,36.0,9.0,9.0,0.0,nfp,,0.0,
1991-10-01,108361,26.0,26.0,36.0,36.0,0.0,nfp,,0.0,
1991-11-01,108300,-61.0,-61.0,26.0,26.0,0.0,nfp,,0.0,
1991-12-01,108330,30.0,30.0,-61.0,-61.0,0.0,nfp,,0.0,
1992-01-01,108365,35.0,35.0,30.0,30.0,0.0,nfp,,0.0,
1992-02-01,108313,-52.0,-52.0,35.0,35.0,0.0,nfp,,0.0,
1992-03-01,108367,54.0,54.0,-52.0,-52.0,0.0,nfp,,0.0,
1992-04-01,108517,150.0,150.0,54.0,54.0,0.0,nfp,,0.0,
1992-05-01,108647,130.0,130.0,150.0,150.0,0.0,nfp,,0.0,
1992-06-01,108707,60.0,60.0,130.0,130.0,0.0,nfp,,0.0,
